Size = 50 | ArrayType = random | SortType = optimized 
Result: comparison = 231 | swap = 67 | running time = 0.0 second
Size = 50 | ArrayType = random | SortType = pure_merge 
Result: comparison = 286 | swap = 0 | running time = 0.0009999275207519531 second
Size = 50 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 598 | swap = 598 | running time = 0.0010001659393310547 second
Size = 50 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 182 | swap = 18 | running time = 0.0009999275207519531 second
Size = 50 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 286 | swap = 0 | running time = 0.0 second
Size = 50 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 93 | swap = 93 | running time = 0.0 second
Size = 50 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 272 | swap = 108 | running time = 0.0 second
Size = 50 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 286 | swap = 0 | running time = 0.0009999275207519531 second
Size = 50 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 1225 | swap = 1225 | running time = 0.003000020980834961 second
Size = 50 | ArrayType = sorted | SortType = optimized 
Result: comparison = 164 | swap = 0 | running time = 0.0 second
Size = 50 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 286 | swap = 0 | running time = 0.0010001659393310547 second
Size = 50 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.0 second
Size = 50 | ArrayType = spiky | SortType = optimized 
Result: comparison = 223 | swap = 59 | running time = 0.0 second
Size = 50 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 286 | swap = 0 | running time = 0.001001119613647461 second
Size = 50 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 613 | swap = 613 | running time = 0.0009999275207519531 second
Size = 100 | ArrayType = random | SortType = optimized 
Result: comparison = 543 | swap = 115 | running time = 0.0009999275207519531 second
Size = 100 | ArrayType = random | SortType = pure_merge 
Result: comparison = 672 | swap = 0 | running time = 0.0009999275207519531 second
Size = 100 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 2366 | swap = 2366 | running time = 0.005000114440917969 second
Size = 100 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 463 | swap = 35 | running time = 0.0010001659393310547 second
Size = 100 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 672 | swap = 0 | running time = 0.0019998550415039062 second
Size = 100 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 432 | swap = 432 | running time = 0.0010008811950683594 second
Size = 100 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 644 | swap = 216 | running time = 0.0019998550415039062 second
Size = 100 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 672 | swap = 0 | running time = 0.0019998550415039062 second
Size = 100 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 4950 | swap = 4950 | running time = 0.01200103759765625 second
Size = 100 | ArrayType = sorted | SortType = optimized 
Result: comparison = 428 | swap = 0 | running time = 0.0010001659393310547 second
Size = 100 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 672 | swap = 0 | running time = 0.0009999275207519531 second
Size = 100 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.0 second
Size = 100 | ArrayType = spiky | SortType = optimized 
Result: comparison = 535 | swap = 107 | running time = 0.002000093460083008 second
Size = 100 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 672 | swap = 0 | running time = 0.002000093460083008 second
Size = 100 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 2409 | swap = 2409 | running time = 0.004999876022338867 second
Size = 150 | ArrayType = random | SortType = optimized 
Result: comparison = 908 | swap = 158 | running time = 0.002000093460083008 second
Size = 150 | ArrayType = random | SortType = pure_merge 
Result: comparison = 1094 | swap = 0 | running time = 0.002000093460083008 second
Size = 150 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 5397 | swap = 5397 | running time = 0.01200103759765625 second
Size = 150 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 804 | swap = 54 | running time = 0.002000093460083008 second
Size = 150 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 1094 | swap = 0 | running time = 0.003000020980834961 second
Size = 150 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 1787 | swap = 1787 | running time = 0.006000995635986328 second
Size = 150 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 1030 | swap = 280 | running time = 0.003000020980834961 second
Size = 150 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 1094 | swap = 0 | running time = 0.003000020980834961 second
Size = 150 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 11175 | swap = 11175 | running time = 0.028002023696899414 second
Size = 150 | ArrayType = sorted | SortType = optimized 
Result: comparison = 750 | swap = 0 | running time = 0.002000093460083008 second
Size = 150 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 1094 | swap = 0 | running time = 0.003000020980834961 second
Size = 150 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.0 second
Size = 150 | ArrayType = spiky | SortType = optimized 
Result: comparison = 887 | swap = 137 | running time = 0.002000093460083008 second
Size = 150 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 1094 | swap = 0 | running time = 0.003000020980834961 second
Size = 150 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 5530 | swap = 5530 | running time = 0.014001131057739258 second
Size = 250 | ArrayType = random | SortType = optimized 
Result: comparison = 1683 | swap = 183 | running time = 0.0029997825622558594 second
Size = 250 | ArrayType = random | SortType = pure_merge 
Result: comparison = 1994 | swap = 0 | running time = 0.005001068115234375 second
Size = 250 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 16491 | swap = 16491 | running time = 0.04000210762023926 second
Size = 250 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 1568 | swap = 68 | running time = 0.0029997825622558594 second
Size = 250 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 1994 | swap = 0 | running time = 0.006000995635986328 second
Size = 250 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 3255 | swap = 3255 | running time = 0.00800013542175293 second
Size = 250 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 1866 | swap = 366 | running time = 0.004001140594482422 second
Size = 250 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 1994 | swap = 0 | running time = 0.003999948501586914 second
Size = 250 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 31125 | swap = 31125 | running time = 0.07400393486022949 second
Size = 250 | ArrayType = sorted | SortType = optimized 
Result: comparison = 1500 | swap = 0 | running time = 0.0029997825622558594 second
Size = 250 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 1994 | swap = 0 | running time = 0.006000041961669922 second
Size = 250 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.0 second
Size = 250 | ArrayType = spiky | SortType = optimized 
Result: comparison = 1669 | swap = 169 | running time = 0.00400090217590332 second
Size = 250 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 1994 | swap = 0 | running time = 0.004999876022338867 second
Size = 250 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 15464 | swap = 15464 | running time = 0.04100203514099121 second
Size = 400 | ArrayType = random | SortType = optimized 
Result: comparison = 2945 | swap = 433 | running time = 0.009001016616821289 second
Size = 400 | ArrayType = random | SortType = pure_merge 
Result: comparison = 3488 | swap = 0 | running time = 0.010001182556152344 second
Size = 400 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 41089 | swap = 41089 | running time = 0.11200594902038574 second
Size = 400 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 2648 | swap = 136 | running time = 0.0050008296966552734 second
Size = 400 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 3488 | swap = 0 | running time = 0.009000062942504883 second
Size = 400 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 9404 | swap = 9404 | running time = 0.021001100540161133 second
Size = 400 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 3376 | swap = 864 | running time = 0.006000041961669922 second
Size = 400 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 3488 | swap = 0 | running time = 0.006999969482421875 second
Size = 400 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 79800 | swap = 79800 | running time = 0.20801091194152832 second
Size = 400 | ArrayType = sorted | SortType = optimized 
Result: comparison = 2512 | swap = 0 | running time = 0.003999948501586914 second
Size = 400 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 3488 | swap = 0 | running time = 0.009000062942504883 second
Size = 400 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.0 second
